"county","cases","population","race","gender","age"
"adams",0,1492,"o","f","Under.40"
"adams",0,365,"o","f","40.59"
"adams",1,68,"o","f","60.69"
"adams",0,73,"o","f","70+"
"adams",0,23351,"w","f","Under.40"
"adams",5,12136,"w","f","40.59"
"adams",5,3609,"w","f","60.69"
"adams",18,5411,"w","f","70+"
"adams",0,1697,"o","m","Under.40"
"adams",0,387,"o","m","40.59"
"adams",0,69,"o","m","60.69"
"adams",1,53,"o","m","70+"
"adams",0,23602,"w","m","Under.40"
"adams",4,11844,"w","m","40.59"
"adams",9,3469,"w","m","60.69"
"adams",12,3666,"w","m","70+"
"allegheny",0,66530,"o","f","Under.40"
"allegheny",20,24634,"o","f","40.59"
"allegheny",13,6988,"o","f","60.69"
"allegheny",32,9107,"o","f","70+"
"allegheny",1,256530,"w","f","Under.40"
"allegheny",64,157968,"w","f","40.59"
"allegheny",102,52580,"w","f","60.69"
"allegheny",347,100327,"w","f","70+"
"allegheny",1,63452,"o","m","Under.40"
"allegheny",26,19796,"o","m","40.59"
"allegheny",17,5088,"o","m","60.69"
"allegheny",42,5271,"o","m","70+"
"allegheny",1,261713,"w","m","Under.40"
"allegheny",75,148349,"w","m","40.59"
"allegheny",147,42873,"w","m","60.69"
"allegheny",387,60460,"w","m","70+"
"armstrong",0,360,"o","f","Under.40"
"armstrong",0,130,"o","f","40.59"
"armstrong",0,44,"o","f","60.69"
"armstrong",0,52,"o","f","70+"
"armstrong",1,17289,"w","f","Under.40"
"armstrong",3,9973,"w","f","40.59"
"armstrong",6,3512,"w","f","60.69"
"armstrong",11,5828,"w","f","70+"
"armstrong",0,395,"o","m","Under.40"
"armstrong",0,161,"o","m","40.59"
"armstrong",0,32,"o","m","60.69"
"armstrong",0,45,"o","m","70+"
"armstrong",0,17626,"w","m","Under.40"
"armstrong",3,10037,"w","m","40.59"
"armstrong",9,2974,"w","m","60.69"
"armstrong",16,3934,"w","m","70+"
"beaver",0,4374,"o","f","Under.40"
"beaver",0,1649,"o","f","40.59"
"beaver",0,524,"o","f","60.69"
"beaver",1,653,"o","f","70+"
"beaver",1,39768,"w","f","Under.40"
"beaver",12,24384,"w","f","40.59"
"beaver",22,8632,"w","f","60.69"
"beaver",43,14568,"w","f","70+"
"beaver",0,4168,"o","m","Under.40"
"beaver",3,1381,"o","m","40.59"
"beaver",3,386,"o","m","60.69"
"beaver",1,387,"o","m","70+"
"beaver",1,40283,"w","m","Under.40"
"beaver",15,23472,"w","m","40.59"
"beaver",19,7377,"w","m","60.69"
"beaver",51,9406,"w","m","70+"
"bedford",0,235,"o","f","Under.40"
"bedford",0,91,"o","f","40.59"
"bedford",0,19,"o","f","60.69"
"bedford",0,27,"o","f","70+"
"bedford",1,12197,"w","f","Under.40"
"bedford",3,6775,"w","f","40.59"
"bedford",3,2534,"w","f","60.69"
"bedford",6,3475,"w","f","70+"
"bedford",0,243,"o","m","Under.40"
"bedford",0,69,"o","m","40.59"
"bedford",0,28,"o","m","60.69"
"bedford",0,19,"o","m","70+"
"bedford",1,12698,"w","m","Under.40"
"bedford",3,6857,"w","m","40.59"
"bedford",6,2292,"w","m","60.69"
"bedford",14,2425,"w","m","70+"
"berks",0,16221,"o","f","Under.40"
"berks",2,3921,"o","f","40.59"
"berks",0,822,"o","f","60.69"
"berks",2,723,"o","f","70+"
"berks",0,83778,"w","f","Under.40"
"berks",20,46160,"w","f","40.59"
"berks",33,14646,"w","f","60.69"
"berks",74,24411,"w","f","70+"
"berks",0,17246,"o","m","Under.40"
"berks",3,3990,"o","m","40.59"
"berks",1,737,"o","m","60.69"
"berks",1,518,"o","m","70+"
"berks",0,85500,"w","m","Under.40"
"berks",39,45766,"w","m","40.59"
"berks",41,13139,"w","m","60.69"
"berks",92,16060,"w","m","70+"
"blair",0,993,"o","f","Under.40"
"blair",0,276,"o","f","40.59"
"blair",0,77,"o","f","60.69"
"blair",1,106,"o","f","70+"
"blair",1,31469,"w","f","Under.40"
"blair",7,17737,"w","f","40.59"
"blair",11,6020,"w","f","60.69"
"blair",35,10549,"w","f","70+"
"blair",0,1105,"o","m","Under.40"
"blair",3,409,"o","m","40.59"
"blair",0,68,"o","m","60.69"
"blair",2,51,"o","m","70+"
"blair",0,32028,"w","m","Under.40"
"blair",12,16912,"w","m","40.59"
"blair",15,5065,"w","m","60.69"
"blair",40,6279,"w","m","70+"
"bradford",0,436,"o","f","Under.40"
"bradford",0,150,"o","f","40.59"
"bradford",0,31,"o","f","60.69"
"bradford",0,30,"o","f","70+"
"bradford",1,15677,"w","f","Under.40"
"bradford",3,8637,"w","f","40.59"
"bradford",6,2902,"w","f","60.69"
"bradford",9,4305,"w","f","70+"
"bradford",0,443,"o","m","Under.40"
"bradford",0,140,"o","m","40.59"
"bradford",0,33,"o","m","60.69"
"bradford",0,27,"o","m","70+"
"bradford",1,15904,"w","m","Under.40"
"bradford",8,8497,"w","m","40.59"
"bradford",14,2677,"w","m","60.69"
"bradford",17,2872,"w","m","70+"
"bucks",0,15379,"o","f","Under.40"
"bucks",2,5394,"o","f","40.59"
"bucks",1,1101,"o","f","60.69"
"bucks",5,920,"o","f","70+"
"bucks",3,144843,"w","f","Under.40"
"bucks",44,83499,"w","f","40.59"
"bucks",53,21852,"w","f","60.69"
"bucks",131,31465,"w","f","70+"
"bucks",0,15355,"o","m","Under.40"
"bucks",1,5229,"o","m","40.59"
"bucks",3,1031,"o","m","60.69"
"bucks",6,638,"o","m","70+"
"bucks",3,148149,"w","m","Under.40"
"bucks",28,82174,"w","m","40.59"
"bucks",64,20257,"w","m","60.69"
"bucks",110,20349,"w","m","70+"
"butler",0,1268,"o","f","Under.40"
"butler",0,357,"o","f","40.59"
"butler",0,70,"o","f","60.69"
"butler",0,75,"o","f","70+"
"butler",1,45428,"w","f","Under.40"
"butler",8,23854,"w","f","40.59"
"butler",22,6577,"w","f","60.69"
"butler",40,11445,"w","f","70+"
"butler",0,1475,"o","m","Under.40"
"butler",0,393,"o","m","40.59"
"butler",0,86,"o","m","60.69"
"butler",3,57,"o","m","70+"
"butler",0,45957,"w","m","Under.40"
"butler",20,23705,"w","m","40.59"
"butler",25,6098,"w","m","60.69"
"butler",39,7238,"w","m","70+"
"cambria",0,1709,"o","f","Under.40"
"cambria",0,570,"o","f","40.59"
"cambria",0,178,"o","f","60.69"
"cambria",1,237,"o","f","70+"
"cambria",0,33975,"w","f","Under.40"
"cambria",7,20304,"w","f","40.59"
"cambria",8,7331,"w","f","60.69"
"cambria",25,14283,"w","f","70+"
"cambria",0,2582,"o","m","Under.40"
"cambria",0,886,"o","m","40.59"
"cambria",2,134,"o","m","60.69"
"cambria",0,119,"o","m","70+"
"cambria",0,35281,"w","m","Under.40"
"cambria",14,20407,"w","m","40.59"
"cambria",13,6060,"w","m","60.69"
"cambria",51,8542,"w","m","70+"
"cameron",0,28,"o","f","Under.40"
"cameron",0,6,"o","f","40.59"
"cameron",0,4,"o","f","60.69"
"cameron",0,0,"o","f","70+"
"cameron",0,1374,"w","f","Under.40"
"cameron",0,775,"w","f","40.59"
"cameron",2,299,"w","f","60.69"
"cameron",2,553,"w","f","70+"
"cameron",0,25,"o","m","Under.40"
"cameron",0,3,"o","m","40.59"
"cameron",0,3,"o","m","60.69"
"cameron",0,1,"o","m","70+"
"cameron",0,1446,"w","m","Under.40"
"cameron",1,845,"w","m","40.59"
"cameron",1,261,"w","m","60.69"
"cameron",2,351,"w","m","70+"
"carbon",0,409,"o","f","Under.40"
"carbon",0,147,"o","f","40.59"
"carbon",0,41,"o","f","60.69"
"carbon",0,13,"o","f","70+"
"carbon",0,13810,"w","f","Under.40"
"carbon",2,7948,"w","f","40.59"
"carbon",6,2866,"w","f","60.69"
"carbon",10,4935,"w","f","70+"
"carbon",0,463,"o","m","Under.40"
"carbon",0,146,"o","m","40.59"
"carbon",0,31,"o","m","60.69"
"carbon",1,32,"o","m","70+"
"carbon",0,14176,"w","m","Under.40"
"carbon",5,8085,"w","m","40.59"
"carbon",6,2569,"w","m","60.69"
"carbon",12,3131,"w","m","70+"
"centre",0,4447,"o","f","Under.40"
"centre",0,513,"o","f","40.59"
"centre",0,84,"o","f","60.69"
"centre",0,70,"o","f","70+"
"centre",0,37344,"w","f","Under.40"
"centre",7,13704,"w","f","40.59"
"centre",4,4318,"w","f","60.69"
"centre",10,5956,"w","f","70+"
"centre",0,5468,"o","m","Under.40"
"centre",1,887,"o","m","40.59"
"centre",0,90,"o","m","60.69"
"centre",0,65,"o","m","70+"
"centre",0,40765,"w","m","Under.40"
